Date,IMA35Med,IMA60Med,IMA85Med,IMAfMed,IMA35Avg,IMA60Avg,IMA85Avg,IMAfAvg
15-Jan-15,-0.135,-0.276,-0.486,-0.392,-0.137,-0.265,-0.449,-0.316
14-Jan-15,-0.119,-0.174,-0.429,-0.318,-0.109,-0.199,-0.378,-0.336
13-Jan-15,0.105,0.028,0.031,0,0.12,0.07,0.035,-0.019
12-Jan-15,0.082,0.038,-0.022,0,0.079,0.052,-0.043,0.011
9-Jan-15,0.176,0.339,0.457,0.487,0.197,0.317,0.44,0.447
8-Jan-15,0.341,0.4,0.801,0.631,0.272,0.444,0.729,0.702
7-Jan-15,0.052,-0.134,-0.18,-0.081,0.01,-0.133,-0.186,-0.209
6-Jan-15,-0.026,-0.22,-0.604,-0.335,-0.043,-0.241,-0.578,-0.458
5-Jan-15,0.077,0.108,0.146,0.2,0.09,0.068,0.086,0.138
2-Jan-15,0.063,0,0,0,0.122,0.06,0.043,0.061
1-Jan-15,0,0,0,0,0,0,0,0
31-Dec-14,0,-0.097,-0.228,-0.205,-0.032,-0.086,-0.219,-0.207
30-Dec-14,0,0,-0.053,-0.042,-0.003,-0.05,-0.09,0.009
29-Dec-14,0.072,0.071,0.085,0.097,0.092,0.104,0.115,0.17
26-Dec-14,0,0,0,0,0,0,-0.001,-0.003
25-Dec-14,0,0,0,0,0,0,0,0
24-Dec-14,0,0.077,0.163,0.156,-0.005,0.088,0.196,0.243
23-Dec-14,0.275,0.34,0.357,0.372,0.285,0.342,0.387,0.384
22-Dec-14,0.449,0.591,0.77,0.773,0.421,0.575,0.767,0.72
19-Dec-14,0.415,0.731,1.063,1.13,0.369,0.706,1.037,1.031
18-Dec-14,0.389,0.542,1.029,0.921,0.347,0.587,0.957,0.925
17-Dec-14,-0.089,-0.207,0,-0.08,-0.138,-0.212,-0.144,-0.261
16-Dec-14,-0.316,-0.536,-0.861,-0.863,-0.318,-0.558,-0.84,-0.911
15-Dec-14,-0.199,-0.39,-0.537,-0.515,-0.199,-0.387,-0.554,-0.611
12-Dec-14,-0.321,-0.442,-0.617,-0.607,-0.302,-0.453,-0.602,-0.609
11-Dec-14,-0.245,-0.401,-0.623,-0.632,-0.213,-0.378,-0.61,-0.605
10-Dec-14,-0.206,-0.363,-0.487,-0.495,-0.222,-0.356,-0.514,-0.493
9-Dec-14,-0.11,-0.21,-0.485,-0.415,-0.127,-0.249,-0.477,-0.478
8-Dec-14,-0.079,0,0,0,-0.057,-0.03,0.011,-0.006
5-Dec-14,0.025,0.067,0.079,0.069,0.023,0.071,0.103,0.113
4-Dec-14,0.059,0.071,0.091,0.096,0.036,0.068,0.113,0.116
3-Dec-14,-0.008,0.014,0.079,0.072,-0.057,0.019,0.088,0.09
2-Dec-14,-0.028,-0.028,0.031,0,-0.04,-0.012,0.029,-0.042
1-Dec-14,-0.06,-0.091,-0.133,-0.111,-0.005,-0.108,-0.177,-0.204
28-Nov-14,0.059,0.077,0.064,0.088,0.035,0.078,0.036,0.139
27-Nov-14,0.082,0.046,0.029,0,0.129,0.04,0.045,0.01
26-Nov-14,0.085,0.085,0.036,0,0.055,0.07,0.048,0.031
25-Nov-14,0.161,0.163,0.206,0.179,0.146,0.173,0.2,0.189
24-Nov-14,0.182,0.267,0.334,0.334,0.193,0.265,0.366,0.361
21-Nov-14,0.233,0.189,0.432,0.361,0.173,0.222,0.362,0.372
20-Nov-14,-0.061,-0.085,-0.221,-0.145,-0.063,-0.102,-0.196,-0.142
19-Nov-14,0.016,0.093,0.171,0.14,0.062,0.121,0.184,0.191
18-Nov-14,0.084,0.1,0.271,0.111,0.06,0.121,0.255,0.161
