Date,IMAmix35,IMAmix60,IMAmix85,IMAflex
06-Oct-14,0.224,0.265,0.585,0.489
03-Oct-14,-0.070,-0.180,-0.203,-0.118
02-Oct-14,-0.084,-0.252,-0.511,-0.523
01-Oct-14,-0.037,-0.089,-0.203,-0.162
30-Sep-14,-0.018,-0.020,0.000,0.000
29-Sep-14,-0.100,-0.149,-0.030,-0.091
26-Sep-14,-0.094,-0.134,-0.449,-0.285
25-Sep-14,0.100,0.103,0.306,0.138
24-Sep-14,-0.156,-0.319,-0.406,-0.379
23-Sep-14,-0.264,-0.341,-0.649,-0.545
22-Sep-14,0.087,0.049,-0.136,-0.065
19-Sep-14,0.088,0.152,0.341,0.195
18-Sep-14,-0.067,0.000,-0.012,0.000
17-Sep-14,-0.060,-0.025,0.000,-0.034
16-Sep-14,-0.105,-0.159,-0.218,-0.163
15-Sep-14,-0.096,-0.108,-0.189,-0.195
12-Sep-14,-0.068,-0.107,-0.050,-0.069
11-Sep-14,-0.191,-0.223,-0.331,-0.338
10-Sep-14,-0.036,-0.060,-0.089,-0.130
09-Sep-14,-0.080,-0.071,0.023,0.000
08-Sep-14,0.088,0.077,0.111,0.225
05-Sep-14,0.000,0.000,0.000,0.038
04-Sep-14,0.087,0.147,0.127,0.132
03-Sep-14,0.093,0.231,0.407,0.451
02-Sep-14,0.014,0.084,0.199,0.215
01-Sep-14,0.000,0.000,0.000,0.000
29-Aug-14,0.000,-0.056,-0.037,-0.012
28-Aug-14,0.072,0.049,-0.121,-0.078
27-Aug-14,0.182,0.241,0.310,0.266
26-Aug-14,0.201,0.214,0.293,0.272
25-Aug-14,0.000,0.000,0.000,0.000
22-Aug-14,0.133,0.159,0.186,0.164
21-Aug-14,0.075,0.087,0.181,0.220
20-Aug-14,0.055,0.125,0.102,0.150
19-Aug-14,0.219,0.265,0.484,0.398
18-Aug-14,0.081,0.089,0.036,0.009
15-Aug-14,0.272,0.312,0.401,0.388
14-Aug-14,0.275,0.343,0.442,0.424
13-Aug-14,0.184,0.218,0.325,0.342
12-Aug-14,0.125,0.252,0.293,0.326
11-Aug-14,0.064,0.069,0.439,0.375
08-Aug-14,0.000,-0.063,-0.296,-0.148
07-Aug-14,0.000,-0.139,-0.049,-0.108
06-Aug-14,-0.186,-0.281,-0.569,-0.421
05-Aug-14,-0.057,-0.017,0.000,0.000
04-Aug-14,0.037,-0.077,0.080,0.000
01-Aug-14,-0.350,-0.472,-0.809,-0.710
31-Jul-14,-0.191,-0.176,-0.260,-0.233
30-Jul-14,0.019,0.016,0.005,0.036
29-Jul-14,0.073,0.064,0.080,0.063
28-Jul-14,-0.032,-0.055,-0.147,-0.095
25-Jul-14,0.000,0.038,0.095,0.069
24-Jul-14,0.106,0.186,0.222,0.268
23-Jul-14,0.172,0.249,0.389,0.382
22-Jul-14,0.136,0.160,0.248,0.270
21-Jul-14,0.043,0.000,0.103,0.000
18-Jul-14,-0.019,-0.118,-0.241,-0.179
17-Jul-14,0.000,0.011,-0.036,0.000
16-Jul-14,0.087,0.066,0.168,0.084
15-Jul-14,-0.035,0.060,0.047,0.044
14-Jul-14,0.159,0.180,0.282,0.190
11-Jul-14,-0.057,-0.122,-0.072,-0.086
10-Jul-14,-0.119,-0.298,-0.396,-0.445
09-Jul-14,-0.169,-0.320,-0.587,-0.549
08-Jul-14,-0.078,-0.190,-0.431,-0.283
07-Jul-14,0.000,0.006,-0.046,0.000
04-Jul-14,0.078,0.134,0.210,0.177
03-Jul-14,0.037,0.142,0.223,0.205
02-Jul-14,0.097,0.140,0.347,0.247
01-Jul-14,-0.019,0.069,0.078,0.048
30-Jun-14,-0.006,0.008,0.064,0.061
27-Jun-14,0.049,0.062,0.014,0.000
26-Jun-14,0.000,-0.082,-0.083,-0.084
25-Jun-14,-0.007,-0.124,-0.238,-0.137
24-Jun-14,0.000,-0.032,-0.071,0.000
23-Jun-14,-0.033,-0.059,-0.107,-0.067
20-Jun-14,0.000,0.070,0.019,0.063
19-Jun-14,0.175,0.199,0.320,0.303
18-Jun-14,0.089,0.071,0.109,0.104
17-Jun-14,-0.048,-0.081,-0.077,-0.035
16-Jun-14,-0.081,-0.248,-0.236,-0.263
13-Jun-14,-0.364,-0.358,-0.647,-0.614
12-Jun-14,-0.047,-0.085,-0.100,-0.105
11-Jun-14,-0.063,-0.052,-0.080,-0.055
10-Jun-14,0.040,0.088,0.087,0.138
09-Jun-14,0.151,0.253,0.321,0.328
06-Jun-14,0.175,0.167,0.296,0.271
05-Jun-14,-0.013,-0.016,-0.020,0.000
04-Jun-14,-0.057,-0.056,0.000,0.000
03-Jun-14,-0.094,-0.060,-0.074,0.000
02-Jun-14,0.000,0.019,0.062,0.053
30-May-14,0.044,0.095,0.045,0.113
29-May-14,0.226,0.228,0.304,0.299
28-May-14,0.241,0.324,0.376,0.433
27-May-14,0.204,0.241,0.428,0.394
26-May-14,0.000,0.000,0.000,0.000
23-May-14,0.115,0.200,0.227,0.312
22-May-14,0.110,0.155,0.339,0.297
21-May-14,-0.103,-0.112,-0.221,-0.164
20-May-14,-0.049,-0.021,0.000,0.000
19-May-14,-0.095,-0.187,-0.095,-0.048
