"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"469",2012-08-20,0.58502,0.57499,0.56669,0.54895,0.53343,0.51518
"475",2012-08-21,0.58554,0.57546,0.56713,0.54933,0.53377,0.51547
"481",2012-08-22,0.58463,0.57417,0.56549,0.5474,0.53158,0.51307
"487",2012-08-23,0.5854,0.5747,0.56582,0.54752,0.53151,0.51279
"493",2012-08-24,0.58467,0.57342,0.56412,0.54544,0.52904,0.51004
"499",2012-08-28,0.5869,0.57537,0.56573,0.54679,0.53031,0.51099
"505",2012-08-29,0.58503,0.57336,0.56367,0.54463,0.52782,0.50853
"511",2012-08-30,0.58413,0.57226,0.56236,0.54315,0.52617,0.50675
"517",2012-08-31,0.58363,0.57186,0.56205,0.54292,0.52599,0.50664
"523",2012-09-03,0.58395,0.57231,0.56261,0.54357,0.52672,0.50743
"529",2012-09-04,0.58381,0.57207,0.56229,0.54318,0.52627,0.50694
"535",2012-09-05,0.58365,0.5716,0.56152,0.54216,0.52501,0.50546
"541",2012-09-06,0.58374,0.57203,0.56225,0.54314,0.52625,0.50691
"547",2012-09-07,0.58627,0.5759,0.56738,0.54931,0.53347,0.5149
"553",2012-09-10,0.58848,0.57808,0.56957,0.55146,0.53557,0.51694
"559",2012-09-11,0.58783,0.57704,0.56815,0.54973,0.53351,0.51461
"565",2012-09-12,0.58807,0.57766,0.56913,0.55101,0.53511,0.51642
"571",2012-09-13,0.58847,0.57804,0.56948,0.55132,0.53538,0.51667
"577",2012-09-14,0.59056,0.58114,0.57367,0.5563,0.54123,0.52321
"583",2012-09-17,0.59188,0.58249,0.57503,0.55768,0.5426,0.52459
"589",2012-09-18,0.59089,0.58085,0.57277,0.55492,0.53933,0.52086
"595",2012-09-19,0.59149,0.58139,0.57326,0.55535,0.53972,0.52115
"601",2012-09-20,0.59177,0.58146,0.57311,0.55502,0.53923,0.52051
"607",2012-09-21,0.59135,0.58109,0.5728,0.55476,0.53901,0.52032
"613",2012-09-24,0.59111,0.58064,0.57216,0.55399,0.53801,0.51927
"619",2012-09-25,0.59139,0.58091,0.57234,0.55416,0.53822,0.51935
